duty,salary,url,company,publish,address,position
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/shanghai-bsq/82230543.html?s=0,上海石易电子科技有限公司,10-09,异地招聘,大数据工程师
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-yhtq/81505385.html?s=0,上海趣医网络技术服务有限公司,10-08,南京-雨花台区,Java（微服务/ SOA/大数据）
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/nanjing/76606756.html?s=0,南京擎天科技有限公司,10-08,南京,大数据研发工程师
"<span class=""label"">职位描述：</span>",20-30万/年,http://jobs.51job.com/nanjing/81804599.html?s=0,南京城市智能交通有限公司,09-26,南京,大数据分析工程师
"<span class=""label"">职位描述：</span>",25000-29999/月,http://jobs.51job.com/nanjing/73218711.html?s=0,北京北信源软件股份有限公司,09-29,南京,高级安全研究员（大数据安全分析）
"<span class=""label"">职位描述：</span>",15000-25000/月,http://jobs.51job.com/nanjing-xwq/81786618.html?s=0,北京途牛科技有限公司南京分公司,09-30,南京-玄武区,大数据工程师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-bxq/78566031.html?s=0,江苏欣网视讯软件技术有限公司,10-08,南京-白下区,大数据产品经理
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-jnq/81469483.html?s=0,南京格里木网络科技有限公司,10-09,南京-江宁区,高薪聘媒体分析师（月薪过万）
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/73600049.html?s=0,瓯伟嘉工贸有限公司,10-08,南京,大数据工程师Big Data engineers（南京）
"<span class=""label"">职位描述：</span>",100000-200000/年,http://jobs.51job.com/suzhou/79814577.html?s=0,苏州奖多多科技有限公司,10-08,异地招聘,大数据开发
"<span class=""label"">职位描述：</span>",12000-24000/月,http://jobs.51job.com/nanjing/78989613.html?s=0,江苏保旺达软件技术有限公司,10-09,南京,软件开发工程师(大数据)
"<span class=""label"">职位描述：</span>",10000-20000/月,http://jobs.51job.com/nanjing-yhtq/81533299.html?s=0,上海京颐科技股份有限公司,10-09,南京-雨花台区,Java（微服务/SOA/大数据）五险一金全额缴纳
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/79167714.html?s=0,广东威创视讯科技股份有限公司,10-09,南京,UI/UE高级设计师
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-yhtq/79150406.html?s=0,博康智能网络科技股份有限公司,10-08,南京-雨花台区,大数据算法工程师
"<span class=""label"">职位描述：</span>",20000-24999/月,http://jobs.51job.com/nanjing/80722992.html?s=0,江苏中地控股集团有限公司,10-09,南京,大数据开发工程师（麦芽数据）
"<span class=""label"">职位描述：</span>",12000-17000/月,http://jobs.51job.com/nanjing/78848815.html?s=0,南京华苏科技有限公司,10-09,南京,WEB开发高级工程师(大数据)
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing/56493738.html?s=0,南京天溯自动化控制系统有限公司,10-09,南京,招聘主管
"<span class=""label"">职位描述：</span>",12000-16000/月,http://jobs.51job.com/nanjing/74835723.html?s=0,焦点科技股份有限公司,10-09,南京,项目经理（焦点教育）
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/wuxi/75947841.html?s=0,无锡利凯儿童用品有限公司,10-09,异地招聘,市场/营销总监
"<span class=""label"">职位描述：</span>",15000-19999/月,http://jobs.51job.com/nanjing/59625675.html?s=0,东方融资网,10-09,南京,销售经理
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-xwq/81179286.html?s=0,深圳丝路数字视觉股份有限公司,10-09,南京-玄武区,特效师
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/nanjing/81408020.html?s=0,上海钜派投资集团有限公司,10-09,南京,理财经理- 南京
"<span class=""label"">职位描述：</span>",10000-14999/月,http://jobs.51job.com/nanjing-glq/68253389.html?s=0,博拉网络,10-09,南京-鼓楼区,客户总监
"<span class=""label"">职位描述：</span>",10-15万/年,http://jobs.51job.com/nanjing/78620209.html?s=0,上海泛微网络科技股份有限公司,10-09,南京,售前顾问
"<span class=""label"">职位描述：</span>",10000-15000/月,http://jobs.51job.com/nanjing-yhtq/82088563.html?s=0,中科创达软件股份有限公司,10-09,南京-雨花台区,咨询师（教育产品事业部）
